id,income,gender,PrepaidorOther,fraud indicator,Different State ,transactionamt,relationship status change,age,DeviceChange
3dfe42e7-432f-4346-b048-aea09bda285b,$205285.36,Male,0,0,1,$101630.22,0,51,0
9a57fd78-358f-4846-b16e-b30fc0fa5c9d,$206540.81,Female,0,0,1,$100049.56,0,54,0
0bf4ce74-aac9-476b-bf6b-8609b18091b5,$668786.59,Female,0,0,0,$108395.53,0,50,0
be05b009-6d10-4da5-84b4-e2e358e46447,$449920.58,Female,0,0,0,$135512.25,0,51,0
44b9b27c-5db0-42c0-824a-b70f919a381b,$60866.46,Male,0,0,0,$62199.16,0,50,1
9eaa1694-2ef1-47c7-8269-8fdc02f26d57,$923995.47,Female,0,0,1,$117993.09,0,50,1
d14650e0-8bac-4d40-bf61-df8a57dd85c8,$206792.11,Male,0,0,0,$105639.32,0,52,0
6661d901-8af1-4a0e-8f27-c8afb70bbc49,$543449.54,Male,0,0,0,$1858.77,0,48,0
897926e4-e168-458d-b527-6a3c411cb0a7,$854312.59,Male,0,0,1,$87032.55,0,47,1
b65c88a1-b388-463d-8f10-671589b46629,$309437.63,Female,0,0,0,$110821.66,1,49,0
7a7106f5-fe04-42db-a72b-38f8d8c57059,$807619.37,Female,0,0,1,$31530.44,0,49,0
8df8ae91-aa18-4128-90f0-0945d9aa2306,$805449.97,Male,0,0,1,$72455.34,0,53,0
8327a993-85bd-4755-812e-c4573bde2964,$417867.49,Female,0,0,0,$119620.95,0,50,1
ce41071c-01fb-4c67-a0f5-ba0bcfdd54a3,$981769.36,Male,0,0,0,$63625.55,0,52,0
7642af49-8cd7-4100-a8e2-e465de3864fd,$954690.14,Male,1,0,1,$95624.40,0,50,0
99545f27-fa80-4447-8fb9-12b817bc19ef,$744902.17,Female,0,0,1,$68295.84,0,50,0
f521fb0e-7550-4367-8142-3d3fcfdc376f,$108766.41,Female,0,1,0,$120813.13,0,50,0
588d0eac-9e73-4a30-ac8d-23b43bea53f3,$273620.05,Male,0,0,1,$98073.62,1,47,1
6706a5e8-b568-4252-9272-c68270ab45e2,$835855.27,Female,0,0,1,$81268.58,0,52,0
06c58f02-8443-4e6d-8fae-f88048dbefe2,$324595.76,Male,0,0,0,$80724.83,0,49,1
8f2e9625-8953-439d-9333-56450960260b,$281122.45,Male,0,0,0,$75973.55,1,49,0
4c98ad05-ffff-4080-913e-9c57b1d60e3f,$919759.02,Male,0,0,0,$37618.58,0,51,0
4e538ef4-cae2-4361-957c-0dd1b062a2bb,$540455.11,Female,0,0,0,$106639.33,0,50,1
6998de70-4cc8-48c5-baa8-1da50a9c89f3,$898941.47,Male,0,0,1,$141425.19,0,49,1
444a7ecf-79a5-436a-a698-ac0e030d84a4,$499960.45,Male,0,0,1,$141480.93,0,52,1
52d4089c-884b-4717-bab2-1bb5d31d7c16,$76834.46,Female,0,0,0,$139552.88,1,48,1
f3ac00ad-357e-422a-9ed6-1271560f996c,$299888.32,Male,0,0,1,$87730.63,0,49,0
df3dd881-5463-447b-b210-785838ea5d9b,$279804.92,Female,0,0,0,$30326.99,0,48,1
a834bdd9-f8b5-42b1-a0c2-678e6d343e84,$877582.37,Bigender,0,0,0,$116154.15,0,49,1
e9798f44-210f-4aa9-b200-9d3f5f986ae1,$299938.39,Male,0,1,0,$11822.87,1,49,1
d776dfae-9ed2-4f83-addd-465d943c3d32,$186316.64,Female,0,0,1,$102992.15,0,52,1
3258f9bf-3c63-4567-99a6-1d3939b1c3fb,$359732.21,Male,0,0,1,$104985.78,0,53,0
bf4e13c0-41ef-413e-8415-8c98994e71c7,$693874.07,Female,0,0,0,$32123.53,0,48,1
e476cc4e-3d47-46be-af71-0cafb7ba1206,$87815.42,Male,0,0,0,$142958.70,0,48,1
1f285bbe-37b9-436d-a766-d3b83d81ef07,$345925.11,Agender,0,0,1,$144386.32,0,53,0
989d4a3c-ce15-4e3a-8c88-8770be2a9503,$326359.32,Female,0,0,0,$137065.45,0,51,1
dfa43bba-637c-4fde-b478-0ac53c87ef55,$500773.83,Male,0,0,0,$68823.63,0,51,0
7f7b5ada-7b0e-47a6-a13d-04fc921ff0c0,$140379.08,Female,1,1,1,$138714.14,0,50,1
a22b01b4-2c25-43e8-a120-b39f6e965970,$68060.61,Female,0,0,1,$30619.57,0,49,1
9f081273-a0ad-4b59-9e08-942f2765f58f,$932137.68,Female,0,0,0,$94103.39,0,53,0
63ec12ce-6e17-4f45-9c8f-cfd9dabf0616,$18008.20,Male,0,0,0,$101630.62,1,48,1
6c5e8702-e58f-47e2-93bf-72044ce31eb6,$362954.46,Male,0,0,0,$111489.18,0,50,0
072e0e1f-e9e5-4d11-bb98-7169c2f025c6,$234325.56,Female,0,0,0,$121394.08,0,51,1
161d8443-c941-4207-aa25-5389c771617e,$984932.66,Male,0,0,1,$38247.63,0,50,1
00bee1f7-06c3-496e-a0ef-6d026d517912,$4116.45,Female,0,0,0,$72516.67,0,45,0
f37428c7-a8fa-4b8c-b61a-b37b96965220,$789653.86,Male,1,0,0,$78787.09,0,50,1
f85e39b0-c01f-42de-972b-be9d7f59c533,$355077.12,Female,0,0,0,$107167.42,0,47,0
666d8ce5-84e8-4f1c-bda2-b7c70056f767,$831777.76,Female,0,0,1,$43223.34,0,46,1
6c2f6ea3-34eb-400e-b4d4-f4048c5f33f0,$226922.93,Female,0,0,0,$122133.24,0,49,0
